sample_index,relative_path,method,reviewer_id,visually_plausible,obvious_artifact,artifact_type,review_scope,item_verdict,rating_source,output_resolved,provenance_class,independent,automated_assistance
10,day2/members/cathal/11_0012.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
10,day2/members/cathal/11_0012.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day2/members/cathal/11_0012.webp,inherited_or_reused_review_result,no,yes
11,day1/members/bjorn/10_0088.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
11,day1/members/bjorn/10_0088.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
12,day1/members/bjorn/10_0088.webp,falco,author,0,1,multi_face_blending_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
12,day1/members/bjorn/10_0088.webp,falco,partner,0,1,multi_face_blending_artifact,expanded_structured_visual_review,FAIL,dual20_partner_human,,genuine_manual_partner_review,not_established,no
13,day4/members/werner/18_0672.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
13,day4/members/werner/18_0672.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.019,outputs/03_anonymisation/12_riddle/images/day4/members/werner/18_0672.webp,heuristic_or_automatically_generated,no,yes
14,day4/members/werner/18_0672.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
14,day4/members/werner/18_0672.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.016,outputs/03_anonymisation/13_falco/images/day4/members/werner/18_0672.webp,heuristic_or_automatically_generated,no,yes
15,day4/members/klaus/11_0401.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
15,day4/members/klaus/11_0401.webp,riddle,partner,0,1,compositing_or_privacy_artifact,expanded_structured_visual_review,FAIL,partner_residual_edge=0.093,outputs/03_anonymisation/12_riddle/images/day4/members/klaus/11_0401.webp,heuristic_or_automatically_generated,no,yes
16,day4/members/klaus/11_0401.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
16,day4/members/klaus/11_0401.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.052,outputs/03_anonymisation/13_falco/images/day4/members/klaus/11_0401.webp,heuristic_or_automatically_generated,no,yes
17,day1/members/klaus/09_0268.webp,riddle,author,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
17,day1/members/klaus/09_0268.webp,riddle,partner,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day1/members/klaus/09_0268.webp,inherited_or_reused_review_result,no,yes
18,day1/members/klaus/09_0268.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
18,day1/members/klaus/09_0268.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.065,outputs/03_anonymisation/13_falco/images/day1/members/klaus/09_0268.webp,heuristic_or_automatically_generated,no,yes
19,day4/members/stevan/10_0044.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
19,day4/members/stevan/10_0044.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.007,outputs/03_anonymisation/12_riddle/images/day4/members/stevan/10_0044.webp,heuristic_or_automatically_generated,no,yes
20,day4/members/stevan/10_0044.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
20,day4/members/stevan/10_0044.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.031,outputs/03_anonymisation/13_falco/images/day4/members/stevan/10_0044.webp,heuristic_or_automatically_generated,no,yes
21,day1/members/tien/15_0585.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
21,day1/members/tien/15_0585.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
22,day1/members/tien/15_0585.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
22,day1/members/tien/15_0585.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
23,day1/members/allie/09_0673.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
23,day1/members/allie/09_0673.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.052,outputs/03_anonymisation/12_riddle/images/day1/members/allie/09_0673.webp,heuristic_or_automatically_generated,no,yes
24,day1/members/allie/09_0673.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
24,day1/members/allie/09_0673.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.009,outputs/03_anonymisation/13_falco/images/day1/members/allie/09_0673.webp,heuristic_or_automatically_generated,no,yes
25,day1/members/tien/10_0032.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
25,day1/members/tien/10_0032.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.076,outputs/03_anonymisation/12_riddle/images/day1/members/tien/10_0032.webp,heuristic_or_automatically_generated,no,yes
26,day1/members/tien/10_0032.webp,falco,author,0,1,geometry_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
26,day1/members/tien/10_0032.webp,falco,partner,0,1,geometry_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day1/members/tien/10_0032.webp,inherited_or_reused_review_result,no,yes
27,day2/members/luca/14_0016.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
27,day2/members/luca/14_0016.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.026,outputs/03_anonymisation/12_riddle/images/day2/members/luca/14_0016.webp,heuristic_or_automatically_generated,no,yes
28,day2/members/luca/14_0016.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
28,day2/members/luca/14_0016.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day2/members/luca/14_0016.webp,inherited_or_reused_review_result,no,yes
29,day1/members/florian/18_0042.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
29,day1/members/florian/18_0042.webp,riddle,partner,0,1,compositing_or_privacy_artifact,expanded_structured_visual_review,FAIL,partner_residual_edge=0.107,outputs/03_anonymisation/12_riddle/images/day1/members/florian/18_0042.webp,heuristic_or_automatically_generated,no,yes
30,day1/members/florian/18_0042.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
30,day1/members/florian/18_0042.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.093,outputs/03_anonymisation/13_falco/images/day1/members/florian/18_0042.webp,heuristic_or_automatically_generated,no,yes
31,day2/members/klaus/19_0493.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
31,day2/members/klaus/19_0493.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
32,day2/members/klaus/19_0493.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
32,day2/members/klaus/19_0493.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
33,day4/members/luca/10_0115.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
33,day4/members/luca/10_0115.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.089,outputs/03_anonymisation/12_riddle/images/day4/members/luca/10_0115.webp,heuristic_or_automatically_generated,no,yes
34,day4/members/luca/10_0115.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
34,day4/members/luca/10_0115.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.060,outputs/03_anonymisation/13_falco/images/day4/members/luca/10_0115.webp,heuristic_or_automatically_generated,no,yes
35,day2/members/klaus/10_0219.webp,riddle,author,0,1,geometry_blending_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
35,day2/members/klaus/10_0219.webp,riddle,partner,0,1,geometry_blending_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day2/members/klaus/10_0219.webp,inherited_or_reused_review_result,no,yes
36,day2/members/klaus/10_0219.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
36,day2/members/klaus/10_0219.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.032,outputs/03_anonymisation/13_falco/images/day2/members/klaus/10_0219.webp,heuristic_or_automatically_generated,no,yes
37,day2/members/allie/17_0331.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
37,day2/members/allie/17_0331.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.026,outputs/03_anonymisation/12_riddle/images/day2/members/allie/17_0331.webp,heuristic_or_automatically_generated,no,yes
38,day2/members/allie/17_0331.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
38,day2/members/allie/17_0331.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.016,outputs/03_anonymisation/13_falco/images/day2/members/allie/17_0331.webp,heuristic_or_automatically_generated,no,yes
39,day3/members/luca/11_0126.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
39,day3/members/luca/11_0126.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.090,outputs/03_anonymisation/12_riddle/images/day3/members/luca/11_0126.webp,heuristic_or_automatically_generated,no,yes
40,day3/members/luca/11_0126.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
40,day3/members/luca/11_0126.webp,falco,partner,0,1,compositing_or_privacy_artifact,expanded_structured_visual_review,FAIL,partner_residual_edge=0.110,outputs/03_anonymisation/13_falco/images/day3/members/luca/11_0126.webp,heuristic_or_automatically_generated,no,yes
41,day3/members/tien/10_0690.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
41,day3/members/tien/10_0690.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
42,day3/members/tien/10_0690.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
42,day3/members/tien/10_0690.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,dual20_partner_human,,genuine_manual_partner_review,not_established,no
43,day4/members/bao/12_0438.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
43,day4/members/bao/12_0438.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.038,outputs/03_anonymisation/12_riddle/images/day4/members/bao/12_0438.webp,heuristic_or_automatically_generated,no,yes
44,day4/members/bao/12_0438.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
44,day4/members/bao/12_0438.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.033,outputs/03_anonymisation/13_falco/images/day4/members/bao/12_0438.webp,heuristic_or_automatically_generated,no,yes
45,day3/members/tien/14_0649.webp,riddle,author,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
45,day3/members/tien/14_0649.webp,riddle,partner,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day3/members/tien/14_0649.webp,inherited_or_reused_review_result,no,yes
46,day3/members/tien/14_0649.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
46,day3/members/tien/14_0649.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.033,outputs/03_anonymisation/13_falco/images/day3/members/tien/14_0649.webp,heuristic_or_automatically_generated,no,yes
47,day1/members/florian/08_0717.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
47,day1/members/florian/08_0717.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.060,outputs/03_anonymisation/12_riddle/images/day1/members/florian/08_0717.webp,heuristic_or_automatically_generated,no,yes
48,day1/members/florian/08_0717.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
48,day1/members/florian/08_0717.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.051,outputs/03_anonymisation/13_falco/images/day1/members/florian/08_0717.webp,heuristic_or_automatically_generated,no,yes
49,day2/members/florian/14_0303.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
49,day2/members/florian/14_0303.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.089,outputs/03_anonymisation/12_riddle/images/day2/members/florian/14_0303.webp,heuristic_or_automatically_generated,no,yes
50,day2/members/florian/14_0303.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
50,day2/members/florian/14_0303.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.052,outputs/03_anonymisation/13_falco/images/day2/members/florian/14_0303.webp,heuristic_or_automatically_generated,no,yes
51,day4/members/bao/10_0060.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
51,day4/members/bao/10_0060.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
52,day4/members/bao/10_0060.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
52,day4/members/bao/10_0060.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
53,day1/members/cathal/14_0484.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
53,day1/members/cathal/14_0484.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.067,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0484.webp,heuristic_or_automatically_generated,no,yes
54,day1/members/cathal/14_0484.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
54,day1/members/cathal/14_0484.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.034,outputs/03_anonymisation/13_falco/images/day1/members/cathal/14_0484.webp,heuristic_or_automatically_generated,no,yes
55,day2/members/allie/17_0093.webp,riddle,author,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
55,day2/members/allie/17_0093.webp,riddle,partner,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day2/members/allie/17_0093.webp,inherited_or_reused_review_result,no,yes
56,day2/members/allie/17_0093.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
56,day2/members/allie/17_0093.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.017,outputs/03_anonymisation/13_falco/images/day2/members/allie/17_0093.webp,heuristic_or_automatically_generated,no,yes
57,day2/members/florian/14_0672.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
57,day2/members/florian/14_0672.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.027,outputs/03_anonymisation/12_riddle/images/day2/members/florian/14_0672.webp,heuristic_or_automatically_generated,no,yes
58,day2/members/florian/14_0672.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
58,day2/members/florian/14_0672.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day2/members/florian/14_0672.webp,inherited_or_reused_review_result,no,yes
59,day1/members/onanong/14_0049.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
59,day1/members/onanong/14_0049.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.075,outputs/03_anonymisation/12_riddle/images/day1/members/onanong/14_0049.webp,heuristic_or_automatically_generated,no,yes
60,day1/members/onanong/14_0049.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
60,day1/members/onanong/14_0049.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.034,outputs/03_anonymisation/13_falco/images/day1/members/onanong/14_0049.webp,heuristic_or_automatically_generated,no,yes
61,day2/members/onanong/17_0009.webp,riddle,author,0,1,false_positive_face_insertion,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
61,day2/members/onanong/17_0009.webp,riddle,partner,0,1,false_positive_face_insertion,expanded_structured_visual_review,FAIL,dual20_partner_human,,genuine_manual_partner_review,not_established,no
62,day2/members/onanong/17_0009.webp,falco,author,0,1,false_positive_face_insertion,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
62,day2/members/onanong/17_0009.webp,falco,partner,0,1,false_positive_face_insertion,expanded_structured_visual_review,FAIL,dual20_partner_human,,genuine_manual_partner_review,not_established,no
63,day1/members/cathal/14_0490.webp,riddle,author,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
63,day1/members/cathal/14_0490.webp,riddle,partner,0,1,implausible_eye_rendering,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0490.webp,inherited_or_reused_review_result,no,yes
64,day1/members/cathal/14_0490.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
64,day1/members/cathal/14_0490.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day1/members/cathal/14_0490.webp,inherited_or_reused_review_result,no,yes
65,day1/members/cathal/09_0001.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
65,day1/members/cathal/09_0001.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.030,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/09_0001.webp,heuristic_or_automatically_generated,no,yes
66,day1/members/cathal/09_0001.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
66,day1/members/cathal/09_0001.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.005,outputs/03_anonymisation/13_falco/images/day1/members/cathal/09_0001.webp,heuristic_or_automatically_generated,no,yes
67,day1/members/cathal/14_0708.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
67,day1/members/cathal/14_0708.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.078,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0708.webp,heuristic_or_automatically_generated,no,yes
68,day1/members/cathal/14_0708.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
68,day1/members/cathal/14_0708.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.046,outputs/03_anonymisation/13_falco/images/day1/members/cathal/14_0708.webp,heuristic_or_automatically_generated,no,yes
69,day2/members/allie/10_0243.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
69,day2/members/allie/10_0243.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.013,outputs/03_anonymisation/12_riddle/images/day2/members/allie/10_0243.webp,heuristic_or_automatically_generated,no,yes
70,day2/members/allie/10_0243.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
70,day2/members/allie/10_0243.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day2/members/allie/10_0243.webp,inherited_or_reused_review_result,no,yes
71,day2/members/florian/14_0293.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
71,day2/members/florian/14_0293.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
72,day2/members/florian/14_0293.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
72,day2/members/florian/14_0293.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,dual20_partner_human,,genuine_manual_partner_review,not_established,no
73,day2/members/klaus/18_0601.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
73,day2/members/klaus/18_0601.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.040,outputs/03_anonymisation/12_riddle/images/day2/members/klaus/18_0601.webp,heuristic_or_automatically_generated,no,yes
74,day2/members/klaus/18_0601.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
74,day2/members/klaus/18_0601.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.038,outputs/03_anonymisation/13_falco/images/day2/members/klaus/18_0601.webp,heuristic_or_automatically_generated,no,yes
75,day1/members/allie/10_0339.webp,riddle,author,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
75,day1/members/allie/10_0339.webp,riddle,partner,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day1/members/allie/10_0339.webp,inherited_or_reused_review_result,no,yes
76,day1/members/allie/10_0339.webp,falco,author,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
76,day1/members/allie/10_0339.webp,falco,partner,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day1/members/allie/10_0339.webp,inherited_or_reused_review_result,no,yes
