index,image_id,review_pass,visible_face_leakage_risk,visible_text_leakage_risk,visible_screen_leakage_risk,scene_understandability,activity_understandability,visual_disruption,selector_recommendation,review_provenance,ground_truth_boundary,local_path
19,day1/members/luca/11_0369.webp,A_initial,none,none,none,high,high,low,no_face_routing;false_positive_check,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
20,day1/members/luca/14_0258.webp,A_initial,high,none,none,high,high,low,good_detection_positive;multi_face_anonymisation,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
21,day1/members/luca/14_0319.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,small_face_detection;occlusion_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
22,day1/members/luca/14_0397.webp,A_initial,high,none,none,high,high,low,small_face_detection;multi_face_scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
23,day1/members/luca/18_0714.webp,A_initial,high,none,none,high,high,low,back_view_exclusion;small_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
24,day1/members/onanong/09_0143.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,small_face_detection;occlusion_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
25,day1/members/onanong/10_0145.webp,A_initial,high,none,high,high,high,low,screen_privacy;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
26,day1/members/onanong/10_0245.webp,A_initial,high,none,high,high,high,low,screen_privacy;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
27,day1/members/onanong/13_0124.webp,A_initial,possible,none,high,high,high,low,screen_privacy;low_light_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
28,day1/members/stevan/08_0479.webp,A_initial,none,none,none,high,high,low,no_face_routing;downward_view,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
29,day1/members/stevan/08_0658.webp,A_initial,high,none,none,high,high,low,small_face_detection;downward_view_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
30,day1/members/stevan/14_0384.webp,A_initial,possible,none,none,medium,high,moderate_source_blur_or_occlusion,blur_stress;method_failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
31,day1/members/stevan/18_0348.webp,A_initial,high,none,none,high,high,low,good_detection_positive;multi_face_anonymisation,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
32,day1/members/tien/17_0065.webp,A_initial,possible,none,none,high,high,low,small_face_detection;low_light_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
33,day1/members/werner/13_0541.webp,A_initial,possible,none,none,low,low,high_source_blur,blur_stress;failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
34,day1/members/werner/15_0522.webp,A_initial,high,none,none,high,high,low,small_face_detection;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
35,day1/members/werner/18_0572.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,multi_face_detection;occlusion_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
36,day1/members/werner/20_0497.webp,A_initial,high,none,none,high,high,low,small_face_detection;side_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
37,day2/members/allie/10_0242.webp,A_initial,high,none,none,high,high,low,side_face_stress;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
38,day2/members/allie/18_0721.webp,A_initial,high,none,none,medium,high,moderate_source_blur_or_occlusion,blur_stress;method_failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
39,day2/members/allie/19_0554.webp,A_initial,high,none,none,low,low,high_source_blur,blur_stress;method_failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
40,day2/members/bjorn/10_0309.webp,A_initial,high,none,none,high,high,low,large_face_detection;good_anonymisation_candidate,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
41,day2/members/bjorn/10_0681.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,occlusion_stress;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
42,day2/members/bjorn/14_0229.webp,A_initial,high,none,none,medium,high,moderate_source_blur_or_occlusion,blur_stress;occlusion_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
43,day2/members/bjorn/18_0214.webp,A_initial,possible,none,none,high,high,low,small_face_detection;low_light_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
44,day2/members/cathal/10_0702.webp,A_initial,high,none,none,low,low,high_source_blur,blur_stress;method_failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
45,day2/members/cathal/17_0136.webp,A_initial,possible,high,high,high,high,low,screen_text_privacy;large_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
46,day2/members/cathal/20_0086.webp,A_initial,possible,none,none,high,high,low,side_face_stress;apparent_demographic_consistency_review,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
47,day2/members/cathal/20_0505.webp,A_initial,high,none,none,high,high,low,multi_face_detection;partial_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
48,day2/members/florian/09_0720.webp,A_initial,possible,high,high,high,high,low,text_screen_privacy;no_face_multimodal,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
49,day3/fixed/kitchen/11_0414.webp,A_initial_expanded,possible,none,none,high,high,low,standard_blur_or_layered;fixed_camera_context,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/kitchen/11_0414.webp
50,day4/members/stevan/12_0344.webp,A_initial_expanded,possible,none,none,medium,medium,moderate_source_blur_or_occlusion,avoid_generative_methods;blur_failure_case,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/members/stevan/12_0344.webp
51,day2/fixed/meeting/08_0703.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_face_routing,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/fixed/meeting/08_0703.webp
52,day1/members/bjorn/08_0362.webp,A_initial_expanded,possible,none,none,high,high,low,multi_face_detection;standard_blur_or_layered,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/bjorn/08_0362.webp
53,day3/fixed/reading/15_0213.webp,A_initial_expanded,none,none,none,high,medium,low,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/reading/15_0213.webp
54,day3/fixed/meeting/18_0469.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_face_routing,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/meeting/18_0469.webp
55,day3/members/tien/10_0507.webp,A_initial_expanded,high,none,none,high,high,low,force_screen_redaction_if_detected;face_anonymisation,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/tien/10_0507.webp
56,day2/members/onanong/16_0702.webp,A_initial_expanded,none,none,none,high,high,low,text_privacy_check;skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/onanong/16_0702.webp
57,day1/members/bjorn/09_0664.webp,A_initial_expanded,possible,none,none,high,high,low,side_face_and_multiface_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/bjorn/09_0664.webp
58,day3/members/florian/14_0685.webp,A_initial_expanded,none,none,none,high,high,low,downward_no_face_routing,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/florian/14_0685.webp
59,day4/members/allie/12_0176.webp,A_initial_expanded,high,none,none,high,high,low,multi_face_detection;standard_blur_or_layered,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/members/allie/12_0176.webp
60,day1/fixed/living1/14_0018.webp,A_initial_expanded,possible,none,none,high,high,low,fixed_camera_text_context;small_face_routing,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/living1/14_0018.webp
61,day3/fixed/living2/11_0133.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/living2/11_0133.webp
62,day1/members/werner/14_0398.webp,A_initial_expanded,high,none,none,high,high,low,multi_face_table_scene,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/werner/14_0398.webp
63,day3/members/luca/20_0398.webp,A_initial_expanded,none,none,none,high,high,low,downward_cooking_no_face,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/luca/20_0398.webp
64,day3/fixed/living2/10_0246.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/living2/10_0246.webp
65,day4/fixed/meeting/14_0600.webp,A_initial_expanded,none,none,none,high,high,low,back_view_no_face_or_low_face_risk,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/fixed/meeting/14_0600.webp
66,day3/fixed/living1/16_0566.webp,A_initial_expanded,none,none,none,high,high,low,fixed_camera_no_face_multimodal,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/living1/16_0566.webp
67,day2/fixed/meeting/09_0266.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/fixed/meeting/09_0266.webp
68,day3/members/bjorn/11_0112.webp,A_initial_expanded,possible,none,none,medium,medium,moderate_source_blur_or_occlusion,avoid_generative_methods;low_light_blur,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/bjorn/11_0112.webp
69,day1/fixed/reading/16_0008.webp,A_initial_expanded,none,none,none,high,medium,low,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/reading/16_0008.webp
70,day2/members/stevan/10_0258.webp,A_initial_expanded,none,none,none,high,high,low,downward_no_face_routing,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/stevan/10_0258.webp
71,day4/members/cathal/13_0456.webp,A_initial_expanded,high,none,none,high,high,low,multi_face_detection;standard_blur_or_layered,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/members/cathal/13_0456.webp
72,day4/members/cathal/09_0107.webp,A_initial_expanded,none,none,none,high,medium,low,outdoor_no_face_or_low_privacy_risk,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/members/cathal/09_0107.webp
73,day2/members/luca/08_0508.webp,A_initial_expanded,none,none,none,high,high,low,downward_text_object_privacy_check,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/luca/08_0508.webp
74,day1/members/tien/18_0650.webp,A_initial_expanded,possible,none,none,medium,medium,moderate_source_blur_or_occlusion,avoid_generative_methods;large_blurred_face,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/tien/18_0650.webp
75,day4/fixed/living1/08_0542.webp,A_initial_expanded,none,none,none,high,high,low,fixed_camera_no_face_multimodal,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/fixed/living1/08_0542.webp
76,day4/fixed/reading/15_0495.webp,A_initial_expanded,none,none,none,high,medium,low,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/fixed/reading/15_0495.webp
77,day3/members/allie/16_0164.webp,A_initial_expanded,none,none,none,high,high,low,phone_screen_redaction;no_face_primary,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/allie/16_0164.webp
78,day4/members/allie/09_0520.webp,A_initial_expanded,high,none,none,high,high,low,large_face_quality_sensitive,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/members/allie/09_0520.webp
79,day1/members/florian/13_0111.webp,A_initial_expanded,high,none,none,high,high,low,large_face_quality_sensitive;table_context,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/florian/13_0111.webp
80,day3/members/bjorn/18_0319.webp,A_initial_expanded,high,none,none,high,high,low,multi_face_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/bjorn/18_0319.webp
81,day1/members/onanong/17_0525.webp,A_initial_expanded,possible,none,none,high,high,low,side_face_and_multiface_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/onanong/17_0525.webp
82,day1/members/klaus/08_0591.webp,A_initial_expanded,high,none,none,high,high,low,large_face_quality_sensitive,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/klaus/08_0591.webp
83,day3/fixed/living1/13_0472.webp,A_initial_expanded,none,none,none,high,medium,low,fixed_camera_no_face_multimodal,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/living1/13_0472.webp
84,day2/members/werner/14_0471.webp,A_initial_expanded,high,none,none,high,high,low,large_face_quality_sensitive;side_face,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/werner/14_0471.webp
85,day1/members/bjorn/17_0555.webp,A_initial_expanded,high,none,none,high,high,low,multi_face_and_table_text_context,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/bjorn/17_0555.webp
86,day2/members/cathal/17_0595.webp,A_initial_expanded,possible,none,none,high,high,low,small_multiface_living_room,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/cathal/17_0595.webp
87,day1/members/werner/10_0365.webp,A_initial_expanded,possible,none,none,high,high,low,multi_face_living_room,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/members/werner/10_0365.webp
88,day1/fixed/meeting/14_0179.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/meeting/14_0179.webp
89,day2/members/cathal/19_0295.webp,A_initial_expanded,high,possible,high,high,high,low,force_screen_text_redaction;face_anonymisation,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/cathal/19_0295.webp
90,day1/fixed/meeting/12_0574.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/meeting/12_0574.webp
91,day4/fixed/living2/08_0042.webp,A_initial_expanded,none,none,none,high,medium,low,fixed_camera_no_face_multimodal,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day4/fixed/living2/08_0042.webp
92,day1/fixed/living1/12_0021.webp,A_initial_expanded,possible,none,none,high,high,low,fixed_camera_multimodal_group_scene,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/living1/12_0021.webp
93,day1/fixed/reading/12_0649.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/reading/12_0649.webp
94,day1/fixed/living2/15_0719.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day1/fixed/living2/15_0719.webp
95,day3/fixed/reading/16_0452.webp,A_initial_expanded,none,none,none,high,medium,low,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/reading/16_0452.webp
96,day3/fixed/meeting/20_0235.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/meeting/20_0235.webp
97,day2/members/onanong/10_0520.webp,A_initial_expanded,possible,none,none,high,high,low,multi_face_table_scene,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/members/onanong/10_0520.webp
98,day3/fixed/reading/15_0594.webp,A_initial_expanded,none,none,none,high,medium,low,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/fixed/reading/15_0594.webp
99,day3/members/luca/08_0474.webp,A_initial_expanded,none,none,none,high,high,low,downward_cooking_no_face,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day3/members/luca/08_0474.webp
100,day2/fixed/living2/12_0127.webp,A_initial_expanded,possible,none,none,high,medium,low,fixed_camera_small_person_detection,Structured visual inspection pass 1 on contact sheets,"Supplementary structured visual label; not independent participant annotation",data/castle2024/raw/day2/fixed/living2/12_0127.webp
