slice_category,index,image_id,local_path,candidate_reason,visual_tags,recommended_use,visual_review_notes,review_provenance,ground_truth_boundary
text_screen_privacy,45,day2/members/cathal/17_0136.webp,data/castle2024/raw/day2/members/cathal/17_0136.webp,detector_false_negative_candidate,visible_screen;visible_text;large_downward_face;chess,screen_text_privacy;large_face_detection,laptop text/screen and person looking down,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
no_face_or_false_positive,6,day1/members/bjorn/13_0690.webp,data/castle2024/raw/day1/members/bjorn/13_0690.webp,detector_false_negative_candidate,no_clear_face;living_room;legs_only,no_face_routing;false_positive_check,no visible face requiring anonymisation,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
no_face_or_false_positive,19,day1/members/luca/11_0369.webp,data/castle2024/raw/day1/members/luca/11_0369.webp,detector_false_negative_candidate,no_clear_face;angled_view;decor,no_face_routing;false_positive_check,no clear face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
no_face_or_false_positive,28,day1/members/stevan/08_0479.webp,data/castle2024/raw/day1/members/stevan/08_0479.webp,detector_false_negative_candidate,overhead_view;hands_only;food;no_face,no_face_routing;downward_view,"overhead kitchen, no face",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
no_face_or_false_positive,48,day2/members/florian/09_0720.webp,data/castle2024/raw/day2/members/florian/09_0720.webp,detector_false_negative_candidate,visible_text;book;visible_screen;no_face_primary,text_screen_privacy;no_face_multimodal,book text and TV/screen visible; no primary face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
occlusion_or_side_face,3,day1/members/bjorn/09_0277.webp,data/castle2024/raw/day1/members/bjorn/09_0277.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_and_side_faces;table_scene,multi_face_detection;face_scale_mix,clear multi-person table scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
occlusion_or_side_face,7,day1/members/bjorn/14_0337.webp,data/castle2024/raw/day1/members/bjorn/14_0337.webp,detector_false_negative_candidate,multiple_faces;medium_faces;occlusion_by_flowers;table_scene,occlusion_stress;multi_face_detection,flowers occlude central scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
occlusion_or_side_face,11,day1/members/cathal/09_0230.webp,data/castle2024/raw/day1/members/cathal/09_0230.webp,detector_false_negative_candidate,multiple_faces;side_faces;partial_face_foreground,multi_face_detection;side_face_stress,good social scene with side/partial foreground,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
occlusion_or_side_face,18,day1/members/luca/11_0360.webp,data/castle2024/raw/day1/members/luca/11_0360.webp,detector_false_negative_candidate,multiple_faces;medium_faces;side_faces;kitchen,multi_face_detection;side_face_stress,"several clear people, side/front mix",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
occlusion_or_side_face,21,day1/members/luca/14_0319.webp,data/castle2024/raw/day1/members/luca/14_0319.webp,detector_false_negative_candidate,multiple_faces;small_faces;occlusion_by_flowers,small_face_detection;occlusion_stress,faces partly hidden by flowers,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
