index,image_id,local_path,candidate_reason,visual_tags,recommended_use,visual_review_notes,review_provenance,ground_truth_boundary
11,day1/members/cathal/09_0230.webp,data/castle2024/raw/day1/members/cathal/09_0230.webp,detector_false_negative_candidate,multiple_faces;side_faces;partial_face_foreground,multi_face_detection;side_face_stress,good social scene with side/partial foreground,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
12,day1/members/cathal/10_0677.webp,data/castle2024/raw/day1/members/cathal/10_0677.webp,detector_false_negative_candidate,multiple_faces;medium_faces;large_foreground_partial,multi_face_detection;partial_face_stress,seated group and foreground partial face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
13,day1/members/cathal/14_0428.webp,data/castle2024/raw/day1/members/cathal/14_0428.webp,detector_false_negative_candidate,severe_motion_blur;multiple_faces;utility_low,blur_stress;method_failure_case,faces and objects very smeared,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
14,day1/members/florian/08_0373.webp,data/castle2024/raw/day1/members/florian/08_0373.webp,detector_false_negative_candidate,small_background_faces;doorway;low_light,small_face_detection;low_light_stress,small figures/faces in doorway,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
15,day1/members/florian/08_0674.webp,data/castle2024/raw/day1/members/florian/08_0674.webp,detector_false_negative_candidate,large_face;medium_face;standing_people;living_room,large_face_detection;stylegan_candidate_but_check_pose,large frontal-ish standing person and another,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
16,day1/members/klaus/08_0262.webp,data/castle2024/raw/day1/members/klaus/08_0262.webp,detector_false_negative_candidate,visible_text;paper_document;no_clear_face,text_privacy;no_face_multimodal,document text visible on table,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
17,day1/members/luca/08_0407.webp,data/castle2024/raw/day1/members/luca/08_0407.webp,detector_false_negative_candidate,partial_large_face_or_hair;mirror_possible;low_light,partial_face_stress;ambiguous_case,"large hair/side head, possible mirror privacy",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
18,day1/members/luca/11_0360.webp,data/castle2024/raw/day1/members/luca/11_0360.webp,detector_false_negative_candidate,multiple_faces;medium_faces;side_faces;kitchen,multi_face_detection;side_face_stress,"several clear people, side/front mix",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
19,day1/members/luca/11_0369.webp,data/castle2024/raw/day1/members/luca/11_0369.webp,detector_false_negative_candidate,no_clear_face;angled_view;decor,no_face_routing;false_positive_check,no clear face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
20,day1/members/luca/14_0258.webp,data/castle2024/raw/day1/members/luca/14_0258.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_faces;table_scene,good_detection_positive;multi_face_anonymisation,clear table faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
21,day1/members/luca/14_0319.webp,data/castle2024/raw/day1/members/luca/14_0319.webp,detector_false_negative_candidate,multiple_faces;small_faces;occlusion_by_flowers,small_face_detection;occlusion_stress,faces partly hidden by flowers,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
22,day1/members/luca/14_0397.webp,data/castle2024/raw/day1/members/luca/14_0397.webp,detector_false_negative_candidate,multiple_faces;small_faces;side_faces,small_face_detection;multi_face_scene,social table with multiple small faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
23,day1/members/luca/18_0714.webp,data/castle2024/raw/day1/members/luca/18_0714.webp,detector_false_negative_candidate,multiple_faces;large_foreground_back_view;small_background_face,back_view_exclusion;small_face_detection,foreground back/hair plus background face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
24,day1/members/onanong/09_0143.webp,data/castle2024/raw/day1/members/onanong/09_0143.webp,detector_false_negative_candidate,multiple_faces;small_faces;occlusion_by_flowers,small_face_detection;occlusion_stress,small group around table,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
25,day1/members/onanong/10_0145.webp,data/castle2024/raw/day1/members/onanong/10_0145.webp,detector_false_negative_candidate,visible_screen;multiple_faces;small_faces,screen_privacy;multi_face_detection,TV/screen clearly visible with seated people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
26,day1/members/onanong/10_0245.webp,data/castle2024/raw/day1/members/onanong/10_0245.webp,detector_false_negative_candidate,visible_screen;multiple_faces;small_faces,screen_privacy;multi_face_detection,screen content and people visible,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
27,day1/members/onanong/13_0124.webp,data/castle2024/raw/day1/members/onanong/13_0124.webp,detector_false_negative_candidate,visible_screen;backlit_face;large_low_light_face,screen_privacy;low_light_face_detection,monitor and backlit frontal face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
28,day1/members/stevan/08_0479.webp,data/castle2024/raw/day1/members/stevan/08_0479.webp,detector_false_negative_candidate,overhead_view;hands_only;food;no_face,no_face_routing;downward_view,"overhead kitchen, no face",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
29,day1/members/stevan/08_0658.webp,data/castle2024/raw/day1/members/stevan/08_0658.webp,detector_false_negative_candidate,multiple_faces;small_faces;downward_view;kitchen,small_face_detection;downward_view_stress,people visible in kitchen scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
30,day1/members/stevan/14_0384.webp,data/castle2024/raw/day1/members/stevan/14_0384.webp,detector_false_negative_candidate,motion_blur;small_faces;low_utility,blur_stress;method_failure_case,strong blur and tiny faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
31,day1/members/stevan/18_0348.webp,data/castle2024/raw/day1/members/stevan/18_0348.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_faces;table_scene,good_detection_positive;multi_face_anonymisation,"clear faces, good positive case",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
32,day1/members/tien/17_0065.webp,data/castle2024/raw/day1/members/tien/17_0065.webp,detector_false_negative_candidate,small_background_faces;kitchen;low_light,small_face_detection;low_light_stress,small people/faces at distance,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
33,day1/members/werner/13_0541.webp,data/castle2024/raw/day1/members/werner/13_0541.webp,detector_false_negative_candidate,severe_motion_blur;large_face_possible;kitchen,blur_stress;failure_case,very blurry moving person,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
34,day1/members/werner/15_0522.webp,data/castle2024/raw/day1/members/werner/15_0522.webp,detector_false_negative_candidate,multiple_faces;small_faces;back_of_head_foreground,small_face_detection;multi_face_detection,table scene with foreground back of head,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
35,day1/members/werner/18_0572.webp,data/castle2024/raw/day1/members/werner/18_0572.webp,detector_false_negative_candidate,multiple_faces;medium_faces;partial_occlusion,multi_face_detection;occlusion_stress,several clear faces plus partials,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
36,day1/members/werner/20_0497.webp,data/castle2024/raw/day1/members/werner/20_0497.webp,detector_false_negative_candidate,multiple_faces;small_faces;side_back_views,small_face_detection;side_face_stress,seated living-room group,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
37,day2/members/allie/10_0242.webp,data/castle2024/raw/day2/members/allie/10_0242.webp,detector_false_negative_candidate,multiple_faces;side_faces;kitchen,side_face_stress;multi_face_detection,several side/back views under ceiling lights,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
38,day2/members/allie/18_0721.webp,data/castle2024/raw/day2/members/allie/18_0721.webp,detector_false_negative_candidate,motion_blur;multiple_faces;table_scene,blur_stress;method_failure_case,blurred table scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
39,day2/members/allie/19_0554.webp,data/castle2024/raw/day2/members/allie/19_0554.webp,detector_false_negative_candidate,severe_motion_blur;multiple_faces;table_scene,blur_stress;method_failure_case,strong blur with many people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
40,day2/members/bjorn/10_0309.webp,data/castle2024/raw/day2/members/bjorn/10_0309.webp,detector_false_negative_candidate,large_face;frontal_face;background_people;doorway,large_face_detection;good_anonymisation_candidate,clear foreground face plus background people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
41,day2/members/bjorn/10_0681.webp,data/castle2024/raw/day2/members/bjorn/10_0681.webp,detector_false_negative_candidate,multiple_faces;medium_faces;occlusion_by_flowers;table_scene,occlusion_stress;multi_face_detection,several seated faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
42,day2/members/bjorn/14_0229.webp,data/castle2024/raw/day2/members/bjorn/14_0229.webp,detector_false_negative_candidate,motion_blur;multiple_faces;occlusion_by_flowers,blur_stress;occlusion_stress,blurred central social scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
43,day2/members/bjorn/18_0214.webp,data/castle2024/raw/day2/members/bjorn/18_0214.webp,detector_false_negative_candidate,small_background_faces;kitchen;partial_body,small_face_detection;low_light_stress,small distant faces/people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
44,day2/members/cathal/10_0702.webp,data/castle2024/raw/day2/members/cathal/10_0702.webp,detector_false_negative_candidate,severe_motion_blur;multiple_faces,blur_stress;method_failure_case,faces heavily smeared,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
45,day2/members/cathal/17_0136.webp,data/castle2024/raw/day2/members/cathal/17_0136.webp,detector_false_negative_candidate,visible_screen;visible_text;large_downward_face;chess,screen_text_privacy;large_face_detection,laptop text/screen and person looking down,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
46,day2/members/cathal/20_0086.webp,data/castle2024/raw/day2/members/cathal/20_0086.webp,detector_false_negative_candidate,large_side_face;small_background_face;low_light,side_face_stress;apparent_demographic_consistency_review,"large side profile, background person",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
47,day2/members/cathal/20_0505.webp,data/castle2024/raw/day2/members/cathal/20_0505.webp,detector_false_negative_candidate,multiple_faces;downward_table_view;partial_faces,multi_face_detection;partial_face_stress,game/table scene with several faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
48,day2/members/florian/09_0720.webp,data/castle2024/raw/day2/members/florian/09_0720.webp,detector_false_negative_candidate,visible_text;book;visible_screen;no_face_primary,text_screen_privacy;no_face_multimodal,book text and TV/screen visible; no primary face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
