review_id,relative_path,source_condition,boxes_count,face_region_plausibility,obvious_artefact,scene_consistency,identity_suppression_appearance,apparent_visual_consistency,background_preservation,text_screen_unintended_distortion,severe_failure,acceptable_for_thesis_figure_demo,oapr_eligible,review_note,adjudication_rule
21,day4/members/werner/09_0017.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
22,day4/members/werner/12_0528.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
23,day3/members/bjorn/20_0140.webp,manifest_fill,5,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
24,day3/members/onanong/15_0413.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
25,day1/members/luca/13_0044.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
26,day4/members/luca/11_0578.webp,manifest_fill,6,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
27,day4/members/werner/18_0672.webp,manifest_fill,3,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
28,day2/members/luca/11_0416.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
29,day1/members/stevan/08_0631.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
30,day3/members/luca/17_0412.webp,manifest_fill,4,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
31,day4/members/onanong/13_0378.webp,manifest_fill,6,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
32,day3/members/luca/11_0126.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
33,day4/members/cathal/13_0074.webp,manifest_fill,7,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
34,day2/members/cathal/19_0687.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
35,day1/members/allie/09_0273.webp,manifest_fill,6,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
36,day3/members/luca/13_0698.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
37,day4/members/allie/09_0480.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
38,day1/members/luca/18_0040.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
39,day2/members/luca/10_0654.webp,manifest_fill,4,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
40,day1/members/klaus/10_0063.webp,manifest_fill,1,medium,low_or_not_obvious_from_sheet,preserved,moderate_to_strong,bounded_but_acceptable_from_sheet,good,not_observed_from_sheet,no,possible_bounded_example,conditional_clear_frontal_or_large_face_only,"One of the more visually acceptable cases, but still not evidence of production-grade demographic or scene realism.",pass2_conservative_label_used
41,day3/members/tien/20_0155.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
42,day1/members/onanong/08_0611.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
43,day4/members/stevan/13_0714.webp,manifest_fill,4,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
44,day2/members/florian/12_0020.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
45,day1/members/cathal/09_0001.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
46,day1/members/luca/08_0225.webp,manifest_fill,2,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
47,day1/members/allie/14_0135.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
48,day1/members/allie/10_0099.webp,manifest_fill,4,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
49,day4/members/bao/08_0028.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
50,day1/members/bjorn/18_0340.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
51,day1/members/luca/15_0236.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
52,day2/members/florian/19_0363.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
53,day1/members/werner/18_0484.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
54,day4/members/allie/08_0040.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
55,day2/members/klaus/12_0264.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
56,day1/members/florian/08_0717.webp,manifest_fill,5,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
57,day2/members/allie/13_0355.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
58,day1/members/bjorn/15_0004.webp,manifest_fill,4,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
59,day2/members/klaus/10_0629.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
60,day1/members/luca/08_0069.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
61,day4/members/werner/08_0337.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
62,day2/members/werner/17_0115.webp,manifest_fill,1,medium,low_or_not_obvious_from_sheet,preserved,moderate_to_strong,bounded_but_acceptable_from_sheet,good,not_observed_from_sheet,no,possible_bounded_example,conditional_clear_frontal_or_large_face_only,"One of the more visually acceptable cases, but still not evidence of production-grade demographic or scene realism.",pass2_conservative_label_used
63,day3/members/klaus/12_0484.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
64,day4/members/stevan/13_0149.webp,manifest_fill,4,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
65,day1/members/luca/08_0716.webp,manifest_fill,2,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
66,day1/members/cathal/08_0346.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
67,day4/members/florian/10_0112.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
68,day1/members/florian/13_0133.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
69,day2/members/tien/19_0311.webp,manifest_fill,2,medium,low_or_not_obvious_from_sheet,preserved,moderate_to_strong,bounded_but_acceptable_from_sheet,good,not_observed_from_sheet,no,possible_bounded_example,conditional_clear_frontal_or_large_face_only,"One of the more visually acceptable cases, but still not evidence of production-grade demographic or scene realism.",pass2_conservative_label_used
70,day3/members/werner/08_0688.webp,manifest_fill,3,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
71,day3/members/onanong/11_0042.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
72,day3/members/luca/18_0573.webp,manifest_fill,4,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
73,day3/members/allie/17_0205.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
74,day3/members/bjorn/18_0629.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
75,day3/members/florian/19_0349.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
76,day3/members/cathal/11_0509.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
77,day3/members/allie/17_0399.webp,manifest_fill,3,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
78,day1/members/klaus/09_0114.webp,manifest_fill,5,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
79,day4/members/klaus/11_0401.webp,manifest_fill,6,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
80,day4/members/luca/14_0559.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
