relative_path,face_id,selected_method_rule,selected_method_learned,alternative_method_scores,feature_values,reason_for_selection,evidence_availability,selected_method_had_valid_output,failure_fallback,oracle_best_method,oracle_best_score,best_available_alternative
day4/members/luca/11_0280.webp,0,blur,pixelate,"{""blur"": 0.9881405398365007, ""diffusion"": 0.9850748470512883, ""pixelate"": 0.6614673156110159}","{""blur_score"": 0.0609533977674435, ""face_box_count"": 3, ""face_size_px"": 303.8749742904144, ""occlusion_ratio"": 0.2965237166991553, ""webp_artifact_score"": 0.3497373469768576}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9881405398365007,blur
day4/members/cathal/18_0442.webp,0,blur,pixelate,"{""blur"": 0.9921818570647725, ""diffusion"": 0.9915699452976648, ""pixelate"": 0.6622471755930421}","{""blur_score"": 0.0337234034377199, ""face_box_count"": 3, ""face_size_px"": 158.84583721331825, ""occlusion_ratio"": 0.2841233354470514, ""webp_artifact_score"": 0.5453211478441213}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9921818570647725,blur
day4/fixed/meeting/14_0150.webp,0,blur,pixelate,"{""blur"": 0.9933304059798957, ""diffusion"": 0.8277033107410151, ""pixelate"": 0.9935961467931888}","{""blur_score"": 0.0159516195783494, ""face_box_count"": 6, ""face_size_px"": 64.70703207534712, ""occlusion_ratio"": 0.6952471936947695, ""webp_artifact_score"": 0.4501331668859505}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9935961467931888,pixelate
day1/members/stevan/10_0321.webp,0,blur,pixelate,"{""blur"": 0.9930609358654557, ""diffusion"": 0.9921163291927414, ""pixelate"": 0.993899938025154}","{""blur_score"": 0.0754199353008669, ""face_box_count"": 3, ""face_size_px"": 107.53604047016051, ""occlusion_ratio"": 0.0498097544102387, ""webp_artifact_score"": 0.4940968517800868}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.993899938025154,pixelate
day4/members/bjorn/10_0668.webp,0,blur,blur,"{""blur"": 0.9641569598317101, ""diffusion"": 0.9535832823050385, ""pixelate"": 0.7343339427898378}","{""blur_score"": 0.0507210759703145, ""face_box_count"": 4, ""face_size_px"": 704.9312023169354, ""occlusion_ratio"": 0.394413275162599, ""webp_artifact_score"": 0.4180754721882032}",high_blur,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9641569598317101,blur
day3/fixed/living1/14_0080.webp,0,blur,pixelate,"{""blur"": 0.992900128500283, ""diffusion"": 0.991699253519252, ""pixelate"": 0.9943487876432355}","{""blur_score"": 0.0047239154806359, ""face_box_count"": 4, ""face_size_px"": 167.46342884343434, ""occlusion_ratio"": 0.6623520182570246, ""webp_artifact_score"": 0.4246523874361223}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9943487876432355,pixelate
day2/members/luca/11_0084.webp,0,blur,pixelate,"{""blur"": 0.9905105651735876, ""diffusion"": 0.9908556070756088, ""pixelate"": 0.9932113227636554}","{""blur_score"": 0.0292961999519488, ""face_box_count"": 4, ""face_size_px"": 191.1543878648879, ""occlusion_ratio"": 0.2818828680897646, ""webp_artifact_score"": 0.3286550965499968}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9932113227636554,pixelate
day2/members/stevan/11_0342.webp,0,blur,pixelate,"{""blur"": 0.989074920561504, ""diffusion"": 0.9852750480175297, ""pixelate"": 0.9925131644948525}","{""blur_score"": 0.0506714938262984, ""face_box_count"": 4, ""face_size_px"": 174.41330224498358, ""occlusion_ratio"": 0.1565417488494411, ""webp_artifact_score"": 0.5036494319947122}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9925131644948525,pixelate
day3/fixed/kitchen/15_0432.webp,0,blur,pixelate,"{""blur"": 0.9944856122510471, ""diffusion"": 0.9942407852264744, ""pixelate"": 0.9951617894622071}","{""blur_score"": 0.0138231197523772, ""face_box_count"": 4, ""face_size_px"": 84.90583018850944, ""occlusion_ratio"": 0.2978221667360244, ""webp_artifact_score"": 0.4102395230641149}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9951617894622071,pixelate
day3/fixed/living2/16_0721.webp,0,blur,pixelate,"{""blur"": 0.9951616954125706, ""diffusion"": 0.9947728129824304, ""pixelate"": 0.9955656299890245}","{""blur_score"": 0.0161436838635598, ""face_box_count"": 2, ""face_size_px"": 117.41379816699568, ""occlusion_ratio"": 0.0964021471057594, ""webp_artifact_score"": 0.5743156762805004}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9955656299890245,pixelate
day2/members/bjorn/14_0704.webp,0,blur,pixelate,"{""blur"": 0.9973471194342288, ""diffusion"": 0.9973566583034416, ""pixelate"": 0.9973525347853123}","{""blur_score"": 0.000829501611733, ""face_box_count"": 1, ""face_size_px"": 19.8997487421324, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.7541382216066275}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,diffusion,0.9973566583034416,diffusion
day1/fixed/meeting/20_0093.webp,0,blur,pixelate,"{""blur"": 0.9935587158899373, ""diffusion"": 0.9936443323218728, ""pixelate"": 0.9941378913726181}","{""blur_score"": 0.0229801524833936, ""face_box_count"": 4, ""face_size_px"": 76.47221717722064, ""occlusion_ratio"": 0.0092339261285909, ""webp_artifact_score"": 0.3396975355033387}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9941378913726181,pixelate
day4/members/onanong/10_0684.webp,0,blur,blur,"{""blur"": 0.9832173421363537, ""diffusion"": 0.976268849020725, ""pixelate"": 0.8656022200581723}","{""blur_score"": 0.0197251376833237, ""face_box_count"": 8, ""face_size_px"": 312.1634187408896, ""occlusion_ratio"": 0.3270837181618538, ""webp_artifact_score"": 0.3863015320391656}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9832173421363537,blur
day3/members/luca/12_0117.webp,0,blur,blur,"{""blur"": 0.9901238224999064, ""diffusion"": 0.9797085906725637, ""pixelate"": 0.4961691227123648}","{""blur_score"": 0.0584521874441836, ""face_box_count"": 2, ""face_size_px"": 399.7599279567676, ""occlusion_ratio"": 0.5890193231878253, ""webp_artifact_score"": 0.565497090379296}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9901238224999064,blur
day2/members/klaus/18_0589.webp,0,blur,pixelate,"{""blur"": 0.9904461956993224, ""diffusion"": 0.9886205991646683, ""pixelate"": 0.9932939427639687}","{""blur_score"": 0.0182865736267153, ""face_box_count"": 6, ""face_size_px"": 218.04815981796315, ""occlusion_ratio"": 0.3870859186034283, ""webp_artifact_score"": 0.3293054618320261}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9932939427639687,pixelate
day3/members/cathal/11_0179.webp,0,blur,pixelate,"{""blur"": 0.996238624610823, ""diffusion"": 0.9962349683473688, ""pixelate"": 0.9962387380263974}","{""blur_score"": 0.0119830540340747, ""face_box_count"": 1, ""face_size_px"": 15.297058540778355, ""occlusion_ratio"": 0.0, ""webp_artifact_score"": 0.2036620734400767}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9962387380263974,pixelate
day3/fixed/meeting/10_0007.webp,0,blur,pixelate,"{""blur"": 0.9931107771396679, ""diffusion"": 0.7450681698797668, ""pixelate"": 0.9936858827199234}","{""blur_score"": 0.0143679363279461, ""face_box_count"": 4, ""face_size_px"": 86.48699324175861, ""occlusion_ratio"": 0.1224598930481283, ""webp_artifact_score"": 0.4949251120285707}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9936858827199234,pixelate
day2/members/werner/19_0229.webp,0,blur,pixelate,"{""blur"": 0.9938207973552448, ""diffusion"": 0.0, ""pixelate"": 0.9943994909622665}","{""blur_score"": 0.0282517391981316, ""face_box_count"": 1, ""face_size_px"": 141.0319112825179, ""occlusion_ratio"": 0.1748617395676219, ""webp_artifact_score"": 0.5397277444483644}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9943994909622665,pixelate
day4/fixed/kitchen/10_0302.webp,0,blur,pixelate,"{""blur"": 0.9955205455570432, ""diffusion"": 0.9954433396321342, ""pixelate"": 0.9957637629041877}","{""blur_score"": 0.0181823330543407, ""face_box_count"": 2, ""face_size_px"": 73.27346040688948, ""occlusion_ratio"": 0.100949897560067, ""webp_artifact_score"": 0.390766174634372}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9957637629041877,pixelate
day2/members/luca/11_0071.webp,0,blur,pixelate,"{""blur"": 0.9886417481368134, ""diffusion"": 0.8222087735951609, ""pixelate"": 0.9922700736702951}","{""blur_score"": 0.0083807302594085, ""face_box_count"": 6, ""face_size_px"": 197.26885207756445, ""occlusion_ratio"": 0.2295001927277399, ""webp_artifact_score"": 0.461486656305599}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9922700736702951,pixelate
day4/fixed/reading/08_0041.webp,0,blur,pixelate,"{""blur"": 0.9941810868629722, ""diffusion"": 0.9941810868629722, ""pixelate"": 0.9941810868629722}","{""blur_score"": 0.3786386174741686, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.5357208653771248}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9941810868629722,blur
day1/members/stevan/17_0434.webp,0,blur,pixelate,"{""blur"": 0.991128220987583, ""diffusion"": 0.9894629373128988, ""pixelate"": 0.9934563487584639}","{""blur_score"": 0.0741342000628094, ""face_box_count"": 3, ""face_size_px"": 210.94074997496332, ""occlusion_ratio"": 0.3111156058971593, ""webp_artifact_score"": 0.5090013579250319}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9934563487584639,pixelate
day2/members/werner/19_0492.webp,0,blur,pixelate,"{""blur"": 0.9935942892504039, ""diffusion"": 0.9935942892504039, ""pixelate"": 0.9935942892504039}","{""blur_score"": 0.207161741141188, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.4673122760714054}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9935942892504039,blur
day4/members/cathal/09_0717.webp,0,blur,pixelate,"{""blur"": 0.9915519099578228, ""diffusion"": 0.9898898020675845, ""pixelate"": 0.0}","{""blur_score"": 0.1523210056784842, ""face_box_count"": 1, ""face_size_px"": 227.20695411892655, ""occlusion_ratio"": 0.3357418205063635, ""webp_artifact_score"": 0.4918058923957451}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9915519099578228,blur
day3/members/cathal/10_0097.webp,0,blur,blur,"{""blur"": 0.990587527217781, ""diffusion"": 0.9874351710223763, ""pixelate"": 0.3971571911092904}","{""blur_score"": 0.0313275034214408, ""face_box_count"": 5, ""face_size_px"": 342.4996350363019, ""occlusion_ratio"": 0.1230968577907353, ""webp_artifact_score"": 0.5689146097981581}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.990587527217781,blur
day3/members/cathal/10_0085.webp,0,blur,blur,"{""blur"": 0.9900434535415875, ""diffusion"": 0.9850035050721644, ""pixelate"": 0.49628893672283003}","{""blur_score"": 0.0461337422233499, ""face_box_count"": 4, ""face_size_px"": 384.7648632606673, ""occlusion_ratio"": 0.2146388911404717, ""webp_artifact_score"": 0.4828568368064367}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9900434535415875,blur
day4/members/werner/11_0702.webp,0,blur,blur,"{""blur"": 0.9843756306406296, ""diffusion"": 0.9731219022285881, ""pixelate"": 0.4949471667349206}","{""blur_score"": 0.1043108526951122, ""face_box_count"": 4, ""face_size_px"": 483.6703422787053, ""occlusion_ratio"": 0.078397175307882, ""webp_artifact_score"": 0.5270232075584258}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9843756306406296,blur
day3/members/tien/10_0034.webp,0,blur,pixelate,"{""blur"": 0.9948472004599016, ""diffusion"": 0.993814697012198, ""pixelate"": 0.9953599999882033}","{""blur_score"": 0.0937579702950461, ""face_box_count"": 1, ""face_size_px"": 141.77446878757826, ""occlusion_ratio"": 0.2818905472636815, ""webp_artifact_score"": 0.5781548361631974}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9953599999882033,pixelate
day3/members/tien/09_0622.webp,0,blur,pixelate,"{""blur"": 0.6620308196426703, ""diffusion"": 0.9886113632757301, ""pixelate"": 0.9945531682220503}","{""blur_score"": 0.0811439141412834, ""face_box_count"": 3, ""face_size_px"": 236.5248401331243, ""occlusion_ratio"": 0.2276562276562276, ""webp_artifact_score"": 0.5873475235649797}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9945531682220503,pixelate
day2/members/florian/15_0496.webp,0,blur,pixelate,"{""blur"": 0.9952567160198326, ""diffusion"": 0.9952567160198326, ""pixelate"": 0.9952567160198326}","{""blur_score"": 0.0425619276746467, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.3831685226542793}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9952567160198326,blur
day1/members/bjorn/11_0223.webp,0,blur,pixelate,"{""blur"": 0.9916865502714364, ""diffusion"": 0.9916012979358179, ""pixelate"": 0.9939093896007254}","{""blur_score"": 0.0216958566458169, ""face_box_count"": 3, ""face_size_px"": 179.37391114652098, ""occlusion_ratio"": 0.2073038073038072, ""webp_artifact_score"": 0.55623395966876}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9939093896007254,pixelate
day4/fixed/reading/10_0278.webp,0,blur,pixelate,"{""blur"": 0.9937420333569325, ""diffusion"": 0.9923479942140068, ""pixelate"": 0.9943442077658452}","{""blur_score"": 0.0364884949527342, ""face_box_count"": 1, ""face_size_px"": 140.6484980367725, ""occlusion_ratio"": 0.6008998079061774, ""webp_artifact_score"": 0.4257109302353701}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9943442077658452,pixelate
day1/members/bjorn/10_0484.webp,0,blur,blur,"{""blur"": 0.9908785421465373, ""diffusion"": 0.987208827303049, ""pixelate"": 0.9931268578612458}","{""blur_score"": 0.1288071718129969, ""face_box_count"": 3, ""face_size_px"": 338.5749547736808, ""occlusion_ratio"": 0.1692182879275601, ""webp_artifact_score"": 0.4935324224407682}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9931268578612458,pixelate
day1/members/cathal/10_0140.webp,0,blur,pixelate,"{""blur"": 0.9911706386600186, ""diffusion"": 0.9901885804048575, ""pixelate"": 0.33097544336938634}","{""blur_score"": 0.0961717632143748, ""face_box_count"": 3, ""face_size_px"": 221.6483701722167, ""occlusion_ratio"": 0.1678269011561635, ""webp_artifact_score"": 0.5077823904451262}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9911706386600186,blur
day1/members/onanong/10_0373.webp,0,blur,pixelate,"{""blur"": 0.9911557419781786, ""diffusion"": 0.9875878281939577, ""pixelate"": 0.9932578923720833}","{""blur_score"": 0.1177215566892381, ""face_box_count"": 4, ""face_size_px"": 220.88458524759037, ""occlusion_ratio"": 0.535447837671654, ""webp_artifact_score"": 0.5179981782947154}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9932578923720833,pixelate
day4/members/stevan/18_0469.webp,0,blur,pixelate,"{""blur"": 0.9945929041845002, ""diffusion"": 0.9927653304885401, ""pixelate"": 0.9951356660113619}","{""blur_score"": 0.1074351195433149, ""face_box_count"": 1, ""face_size_px"": 148.44190782929192, ""occlusion_ratio"": 0.1809847969140005, ""webp_artifact_score"": 0.4670443800805959}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9951356660113619,pixelate
day3/members/tien/18_0478.webp,0,blur,blur,"{""blur"": 0.9879006984381166, ""diffusion"": 0.9815172295539729, ""pixelate"": 0.7935892820956206}","{""blur_score"": 0.0357768188609095, ""face_box_count"": 5, ""face_size_px"": 300.5062395358872, ""occlusion_ratio"": 0.3791858610914245, ""webp_artifact_score"": 0.5615301971218742}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9879006984381166,blur
day1/members/onanong/11_0207.webp,0,blur,pixelate,"{""blur"": 0.9913496458588787, ""diffusion"": 0.988755400319777, ""pixelate"": 0.9933561523845067}","{""blur_score"": 0.1138757986228122, ""face_box_count"": 3, ""face_size_px"": 200.61654966627256, ""occlusion_ratio"": 0.0924540959574626, ""webp_artifact_score"": 0.486025593366391}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9933561523845067,pixelate
day1/members/luca/12_0667.webp,0,blur,pixelate,"{""blur"": 0.9928234605210865, ""diffusion"": 0.9927954798989719, ""pixelate"": 0.994053625856315}","{""blur_score"": 0.0369695029130532, ""face_box_count"": 1, ""face_size_px"": 192.7070315271345, ""occlusion_ratio"": 0.1557787591555364, ""webp_artifact_score"": 0.4292183860508647}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.994053625856315,pixelate
day1/members/werner/11_0596.webp,0,blur,blur,"{""blur"": 0.9867983211236937, ""diffusion"": 0.9819344843077529, ""pixelate"": 0.4958481666141719}","{""blur_score"": 0.2605872053000266, ""face_box_count"": 2, ""face_size_px"": 463.82539818341127, ""occlusion_ratio"": 0.0760642204393541, ""webp_artifact_score"": 0.5381471054329102}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9867983211236937,blur
day4/members/bao/13_0654.webp,0,blur,blur,"{""blur"": 0.9875435064814857, ""diffusion"": 0.9812908603035645, ""pixelate"": 0.6609813161906725}","{""blur_score"": 0.131436629970474, ""face_box_count"": 6, ""face_size_px"": 257.7207791389744, ""occlusion_ratio"": 0.1625865703101475, ""webp_artifact_score"": 0.5186167898844469}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9875435064814857,blur
day1/members/florian/09_0313.webp,0,blur,blur,"{""blur"": 0.49068810738185004, ""diffusion"": 0.9629128109366776, ""pixelate"": 0.0}","{""blur_score"": 0.086459985233266, ""face_box_count"": 2, ""face_size_px"": 517.1614834846075, ""occlusion_ratio"": 0.3612295106484805, ""webp_artifact_score"": 0.4466258450844158}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,diffusion,0.9629128109366776,diffusion
day4/members/bao/12_0395.webp,0,blur,pixelate,"{""blur"": 0.9959180419999104, ""diffusion"": 0.9959180419999104, ""pixelate"": 0.9959180419999104}","{""blur_score"": 0.0278293763870495, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.5722997245091022}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9959180419999104,blur
day1/members/klaus/11_0035.webp,0,blur,blur,"{""blur"": 0.9919537819153729, ""diffusion"": 0.9894481841416138, ""pixelate"": 0.49650261129961265}","{""blur_score"": 0.1387517930517911, ""face_box_count"": 2, ""face_size_px"": 250.30381539241463, ""occlusion_ratio"": 0.1064930090021069, ""webp_artifact_score"": 0.4680514693610544}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9919537819153729,blur
day1/members/cathal/19_0537.webp,0,blur,blur,"{""blur"": 0.0, ""diffusion"": 0.9700072671954633, ""pixelate"": 0.0}","{""blur_score"": 0.1096349164593474, ""face_box_count"": 1, ""face_size_px"": 697.5456974277743, ""occlusion_ratio"": 0.5585516986250694, ""webp_artifact_score"": 0.4938405936915711}",high_blur,full_for_blur_pixelate_diffusion_proxy,yes,,diffusion,0.9700072671954633,diffusion
day3/members/klaus/13_0311.webp,0,blur,pixelate,"{""blur"": 0.9900193419813598, ""diffusion"": 0.9844709761791256, ""pixelate"": 0.9929438786517256}","{""blur_score"": 0.0047768037635708, ""face_box_count"": 5, ""face_size_px"": 210.4661492972207, ""occlusion_ratio"": 0.2198166877370417, ""webp_artifact_score"": 0.5021839028660882}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9929438786517256,pixelate
day3/members/luca/12_0100.webp,0,blur,pixelate,"{""blur"": 0.9947407363163472, ""diffusion"": 0.9923207003007143, ""pixelate"": 0.9954624660781549}","{""blur_score"": 0.0122332645692417, ""face_box_count"": 1, ""face_size_px"": 212.1508896988179, ""occlusion_ratio"": 0.1987424457874156, ""webp_artifact_score"": 0.4886705255849222}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9954624660781549,pixelate
day3/members/stevan/18_0328.webp,0,blur,pixelate,"{""blur"": 0.9884049239505295, ""diffusion"": 0.9845064915434213, ""pixelate"": 0.9918776305616527}","{""blur_score"": 0.0300475040317607, ""face_box_count"": 9, ""face_size_px"": 168.3478541591784, ""occlusion_ratio"": 0.6709360996436258, ""webp_artifact_score"": 0.5394774628891197}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9918776305616527,pixelate
day3/fixed/reading/16_0173.webp,0,blur,pixelate,"{""blur"": 0.9948948906678682, ""diffusion"": 0.9948948906678682, ""pixelate"": 0.9948948906678682}","{""blur_score"": 0.0294962744123121, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.4775129772042445}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9948948906678682,blur
day3/members/luca/20_0330.webp,0,blur,pixelate,"{""blur"": 0.993794274781326, ""diffusion"": 0.993794274781326, ""pixelate"": 0.993794274781326}","{""blur_score"": 0.060699827657728, ""face_box_count"": 0, ""face_size_px"": 0.0, ""occlusion_ratio"": 1.0, ""webp_artifact_score"": 0.4927974080658057}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.993794274781326,blur
day4/fixed/kitchen/08_0090.webp,0,blur,pixelate,"{""blur"": 0.994761740117314, ""diffusion"": 0.9944200917561162, ""pixelate"": 0.9952523324795304}","{""blur_score"": 0.0144852862882279, ""face_box_count"": 2, ""face_size_px"": 128.21856339859684, ""occlusion_ratio"": 0.1360705596107055, ""webp_artifact_score"": 0.4023390161755951}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9952523324795304,pixelate
